,C,O,c,1,c,(,C,N,C,(,C,N,c,2,c,c,(,[,N,+,],(,[,O,-,],),=,O,),c,c,(,F,),c,2,),=,O,),c,(,O,C,),c,c,(,O,C,),c,1
C,0.008854014,0.0021732757,0.0030015768,0.0005075093,0.009606809,0.0006342496,0.0038677435,0.002237381,0.0017757028,0.0058782124,0.0027838547,0.0084540425,0.01508371,0.0018997544,0.047624115,0.004792397,0.0027653708,0.049309324,0.021621954,0.035610117,0.1397444,0.0055108704,0.037849586,0.016382104,0.012500501,0.056611564,0.0057322006,0.022253776,0.046122424,0.013531222,0.028995538,0.03053578,0.004999967,0.033033125,0.09341478,0.023064317,0.009463707,0.07789574,0.01562306,0.013934369,0.0020305696,0.00924017,0.00054998323,0.0036920025,0.0040137717,0.0036076936,0.0060145156,0.002334644,0.0004981376,0.0038939882,0.0030092252,0.0026368182,0.0048915497,0.0019822011
O,0.00038193862,2.101063e-05,0.002224462,0.024683787,4.27927e-05,0.010557075,0.00014753826,5.3172083e-05,0.0027329847,7.645794e-06,0.00012847186,1.491196e-05,0.00015515741,0.0026988066,9.7692955e-06,0.0015916888,0.008231697,5.5258854e-05,0.00039110475,0.00014778378,1.773626e-05,0.0010102638,6.7697845e-05,0.00021734154,0.0029846071,9.392616e-05,0.0011507103,0.00023493938,9.0821464e-05,0.004991403,0.0001832247,0.016243579,0.017933665,2.9466692e-05,6.197731e-06,0.000121526304,0.0036152103,2.0696829e-05,0.00022265824,8.786271e-05,0.003937257,0.00028170366,0.063134566,0.00020817672,0.0030429973,4.2255084e-05,0.000429385,0.39799035,0.13739572,0.00035830846,0.0010557206,2.7184047e-05,0.00024911558,0.28783166
c,0.029428585,0.0030585073,0.012304761,0.004566007,0.0030151957,0.0067762723,0.05882167,0.0132842045,0.005230934,0.001610176,0.025352903,0.0018046305,0.006201853,0.0002939515,0.00093220157,0.00018311595,0.00034980752,0.05117047,0.0038908448,0.0074089225,0.018983202,0.0006908385,0.024668943,0.001811298,0.0014467688,0.014907307,0.00043277335,0.03951593,0.005970783,0.0009212436,0.046732068,0.005629488,0.002548433,0.024943536,0.055927247,0.06717785,0.0004921278,0.0010234449,0.060879614,0.006754714,0.00035622518,0.044937752,0.006750713,0.036292862,0.01596348,0.0043455847,0.09104778,0.012833013,0.0035514066,0.021277338,0.0040213964,0.0018793618,0.052654907,0.011230319
1,0.02828971,0.0035505595,0.019970154,0.002423771,0.012652821,0.0025428748,0.14320202,0.012730384,0.003136289,0.0006427206,0.005659193,0.00029172766,0.0014559563,6.610886e-05,0.0015776893,4.8975406e-05,5.723422e-05,0.025142828,0.0013888783,0.0016420947,0.004664435,0.00039499768,0.00836541,0.00082964526,0.0004960264,0.0036965245,0.0002907123,0.023064828,0.003647345,0.0006010799,0.02806886,0.0006590195,0.000214225,0.010546547,0.00985402,0.035655458,9.7953525e-05,0.0019293814,0.036552284,0.0043465486,0.0002917455,0.031505562,0.0032864648,0.13780688,0.026371984,0.0054542907,0.068179466,0.014410325,0.0030517294,0.09741888,0.010442449,0.0033196525,0.052609295,0.014148435
c,0.022968506,0.003054975,0.0029615136,0.00048502354,0.02890399,0.00042527515,0.044165716,0.006007802,0.0024202894,0.0016691778,0.0024225854,0.0014900052,0.0028413201,0.00012327575,0.016799003,0.00043417237,0.00020474757,0.0493484,0.0028099162,0.005249721,0.009628508,0.0011280164,0.016856804,0.0025412512,0.001533768,0.021014646,0.0013838717,0.044816308,0.030345993,0.002296844,0.063744895,0.0037172341,0.00055650197,0.031079352,0.019981777,0.05198147,0.001377523,0.03712008,0.039315805,0.013792966,0.0008311362,0.0382821,0.0006108126,0.039514717,0.005479574,0.007355882,0.042144585,0.021988234,0.003998205,0.08885772,0.008806233,0.01054976,0.036382556,0.016399676
c,0.01966665,0.00798682,0.02176603,0.006504947,0.020211916,0.0094203185,0.23154631,0.038070377,0.0068737403,0.0019148671,0.009262928,0.0005505671,0.0009989506,0.0001745531,0.0014452714,7.447069e-05,6.031902e-05,0.0054552443,0.0005107371,0.0005624418,0.00074379315,0.00035088678,0.0026795864,0.0005331337,0.00018499755,0.0013261089,0.00027678628,0.010444423,0.00106416,0.0002690033,0.011500609,0.00011051393,6.66002e-05,0.00267024,0.001591373,0.014812162,7.5827906e-05,0.0011597206,0.019251596,0.0026784597,0.00045012386,0.021641854,0.006373316,0.15254858,0.021503683,0.008761057,0.047078457,0.010530148,0.0057060793,0.11179859,0.014759987,0.008217194,0.049805656,0.015928324
(,0.022597585,0.0044490867,0.009108113,0.0019463829,0.03637437,0.0022348166,0.15320069,0.0074808984,0.0032514178,0.00057344337,0.0026329046,0.00017812473,0.00097342586,7.54701e-05,0.0041716946,0.000108837194,4.9877126e-05,0.008256296,0.0006822491,0.000875924,0.0022143177,0.0003177489,0.005615974,0.0012698505,0.00024028948,0.0056750546,0.00034675066,0.027900843,0.0031460035,0.00032371524,0.031715702,0.00024214522,7.260405e-05,0.005052056,0.003602776,0.03480641,0.00020766426,0.007441105,0.037286464,0.002624748,0.00025701016,0.042294115,0.0020601284,0.12545125,0.010212833,0.0057515753,0.073595084,0.009206108,0.0025898046,0.09489354,0.008340538,0.005619336,0.078701116,0.012579317
O,0.0006369895,0.00020820412,0.0039195516,0.18706948,0.00089793984,0.48846644,0.013773559,0.0041733715,0.008424779,0.0001244581,0.0022672426,2.7323891e-05,5.5390836e-05,0.0062601264,2.9297238e-05,0.00037547702,0.0009740568,1.9220048e-05,4.42668e-05,1.567392e-05,1.584481e-06,0.0001511735,2.3778224e-05,3.491158e-05,3.093083e-05,8.285121e-06,0.00010387614,0.00011968221,1.3860293e-06,5.5076736e-05,8.321083e-05,2.0640386e-05,9.634406e-05,4.6353766e-06,6.13275e-07,7.4647345e-05,0.00010206694,7.9367655e-06,0.00024246535,9.94113e-06,0.0005527024,0.00046035738,0.1605566,0.0035171073,0.002472188,0.00016158463,0.0009030426,0.016897505,0.04766701,0.0017548001,0.0011538669,0.00012187932,0.00085303996,0.042886753
C,0.021218378,0.021209642,0.023260215,0.007488152,0.017139325,0.015986169,0.207027,0.082624406,0.008657475,0.0072601647,0.019199384,0.0031078283,0.0013460073,0.00020069466,0.0011412353,6.461704e-05,5.5836812e-05,0.0047375797,0.0005117755,0.00071888726,0.0005062306,0.0003860692,0.0025868036,0.0007114324,0.00019850428,0.0016929915,0.0002634892,0.010432509,0.0015025644,0.00024209803,0.011144675,5.923556e-05,5.184055e-05,0.0031608513,0.0007817991,0.017866911,4.8847694e-05,0.0007231967,0.018197516,0.006252738,0.0008618572,0.022413548,0.0056997533,0.0927795,0.01677628,0.018501202,0.04830187,0.0034166882,0.0041550794,0.08604514,0.015130991,0.0225778,0.057257954,0.005983483
),0.00018092165,0.000112969,0.0023763906,0.1341974,0.0002494535,0.3010317,0.00028956644,0.00051906676,0.013869314,0.00047009543,0.0022968322,0.00056422397,0.0010138961,0.21676745,0.00013577731,0.018212436,0.07042034,1.7819148e-05,0.00064702175,0.00019280051,1.5436019e-05,0.0034155091,4.254764e-05,0.00044467815,0.0014685363,3.2699372e-05,0.002573487,6.247856e-05,5.900907e-06,0.0021444734,4.1840372e-05,0.0014207875,0.009353724,1.2044902e-05,2.5442591e-06,3.360641e-05,0.0059492886,4.3579897e-05,7.9453916e-05,3.232606e-05,0.014862388,9.3834824e-05,0.15468943,0.00014453896,0.0015925373,7.884176e-05,9.422023e-05,0.005754492,0.021704752,6.4091786e-05,0.0005473142,4.211524e-05,7.27972e-05,0.009336531
