,canonical,random
0,CCCC(=O)Nc1ccc(N2CCN(CC)CC2)c(Cl)c1,c1cc(NC(CCC)=O)cc(Cl)c1N1CCN(CC)CC1
1,O=c1[nH]c2cc3c(cc2cc1CN(CCCO)Cc1nnnn1Cc1ccc(F)cc1)OCO3,N(Cc1nnnn1Cc1ccc(F)cc1)(Cc1c(=O)[nH]c2c(cc3c(c2)OCO3)c1)CCCO
2,CCN1C(=O)/C(=C2\SC(=S)N(CCCOC)C2=O)c2ccccc21,C1(=C2/C(=O)N(CCCOC)C(=S)S2)\C(=O)N(CC)c2c1cccc2
3,CC(=O)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1cccs1,N(C(=O)C)(S(=O)(=O)c1cccs1)c1cc2sc(=O)oc2cc1
4,Clc1ccccc1-c1nc(-c2ccccc2)n[nH]1,n1c(-c2ccccc2)nc(-c2c(Cl)cccc2)[nH]1
5,COc1ccccc1CNC(=O)Cn1nnc(-c2ccncc2)n1,N(C(Cn1nnc(-c2ccncc2)n1)=O)Cc1c(OC)cccc1
6,N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,c1c2c(n(CC(c3cc(Cl)c(Cl)cc3)=O)c(=N)n2CCN2CCOCC2)ccc1
7,COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCCC(=O)O)C2c2ccc(OC)cc2)cc1,O(C)c1ccc(C2N(CCCC(=O)O)C(=O)C(=O)/C2=C(\O)c2ccc(OC)cc2)cc1
8,COc1ccc(Nc2nc(N)nc(CSc3n[nH]c(-c4ccccc4)n3)n2)cc1,n1c(Nc2ccc(OC)cc2)nc(CSc2nc(-c3ccccc3)[nH]n2)nc1N
9,CCN(CC)C(=O)CSc1nnc(-c2cc3ccccc3cc2O)n1CC,c1(-c2n(CC)c(SCC(N(CC)CC)=O)nn2)cc2c(cc1O)cccc2
10,Cc1ccc2c(c1)nnn2C1CCN(S(=O)(=O)c2ccc(C(=O)N3C(C)CCCC3C)cc2)CC1,c1cc(S(=O)(=O)N2CCC(n3nnc4cc(C)ccc34)CC2)ccc1C(=O)N1C(C)CCCC1C
11,COc1cccc2c(=O)c(C(=O)NCc3cccs3)c[nH]c12,C(=O)(NCc1cccs1)c1c[nH]c2c(cccc2OC)c1=O
12,CC(C)(C)NC(=O)CSc1nnc(Cc2ccc3c(c2)OCO3)n1C1CCCCC1,O=C(NC(C)(C)C)CSc1n(C2CCCCC2)c(Cc2ccc3c(c2)OCO3)nn1
13,O=C(CSc1nnc2c(n1)[nH]c1ccc(F)cc12)OCc1ccccc1,[nH]1c2c(c3c1nc(SCC(=O)OCc1ccccc1)nn3)cc(F)cc2
14,CCc1c(C)nc2ncnn2c1NCCc1ccc(OC)cc1,c1c(OC)ccc(CCNc2c(CC)c(C)nc3n2ncn3)c1
15,CCOC(=O)CSC1=C(C#N)C(C)C2=C(CCCC2=O)N1,C1C(=O)C2=C(CC1)NC(SCC(OCC)=O)=C(C#N)C2C
16,Cc1ccc2cc(C)c3nnc(SCC(=O)NCc4ccco4)n3c2c1,S(CC(=O)NCc1ccco1)c1nnc2n1c1c(ccc(C)c1)cc2C
17,CCOC(=O)N1CCN(S(=O)(=O)Cc2ccccc2)CC1,O=S(=O)(N1CCN(C(OCC)=O)CC1)Cc1ccccc1
18,CCSC1=C(C#N)C2(CCCCC2)C(C#N)=C(N)N1,C1CCCCC12C(C#N)=C(N)NC(SCC)=C2C#N
19,FC(F)(F)c1ccc(N2CCN(c3cc(-c4ccccc4)nc4ncnn34)CC2)nc1,C(F)(c1cnc(N2CCN(c3n4c(nc(-c5ccccc5)c3)ncn4)CC2)cc1)(F)F
20,CCOC(=O)C(NC(C)=O)C(OC(C)=O)c1cccc(N(CCO)CCO)c1,O(C(c1cccc(N(CCO)CCO)c1)C(NC(C)=O)C(=O)OCC)C(=O)C
21,CCC(=O)Nc1cc2c(cc1C(=O)c1ccccc1)OCCO2,C1COc2cc(NC(=O)CC)c(C(c3ccccc3)=O)cc2O1
22,Cc1cc(C)nc(N2CCC(C(=O)NCCc3ccc(F)cc3)CC2)n1,Fc1ccc(CCNC(=O)C2CCN(c3nc(C)cc(C)n3)CC2)cc1
23,COc1cc(-c2nnc(-c3ccc(N4CCOCC4)cc3)o2)cc(OC)c1OC,C1CN(c2ccc(-c3nnc(-c4cc(OC)c(OC)c(OC)c4)o3)cc2)CCO1
24,CN(C)C=C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O,C1CC(N2C(=O)C(=CN(C)C)C(=O)N(C3CCCCC3)C2=O)CCC1
25,Cc1ccc(C)c(/C(O)=C2/C(=O)C(=O)N(CCN3CCOCC3)C2c2ccco2)c1,C1(=C(/O)c2cc(C)ccc2C)\C(c2ccco2)N(CCN2CCOCC2)C(=O)C1=O
26,Cn1c(SC2=CS(=O)(=O)c3ccccc32)nc2ccccc21,C1(Sc2nc3ccccc3n2C)=CS(=O)(=O)c2c1cccc2
27,CCOc1ccc(-c2nnc(-c3ccncc3)o2)cc1,c1(-c2ccncc2)oc(-c2ccc(OCC)cc2)nn1
28,CC(C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)c1ccc2c(c1)OCCO2,CC(N(C(=O)c1snc(C(N)=O)c1N)c1cc2c(cc1)OCCO2)C(NC1CCCC1)=O
29,Cn1c(-c2ccc3c(c2)OCO3)cnc1NCc1ccccc1,c1c2c(cc(-c3cnc(NCc4ccccc4)n3C)c1)OCO2
30,CC1(CCC#N)N=C(SCCC#N)N(c2ccccc2)C1=O,C(#N)CCSC1=NC(CCC#N)(C)C(=O)N1c1ccccc1
31,Cc1cccc(NC(=O)CSc2n[nH]c(-c3ccncc3)n2)c1,c1cc(-c2nc(SCC(Nc3cccc(C)c3)=O)n[nH]2)ccn1
32,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccc(CN2CCOCC2)cc1,c1c(C(Nc2ccc(S(=O)(N3CCCC3)=O)cc2)=O)ccc(CN2CCOCC2)c1
33,O=C(CN1CCN(c2ncccn2)CC1)NCCC1=CCCCC1,c1cnc(N2CCN(CC(=O)NCCC3=CCCCC3)CC2)nc1
34,CC(=O)NC1(c2cccc(F)c2)CCN(CC(=O)NC2CCCCC2)CC1,N(C(=O)CN1CCC(c2cc(F)ccc2)(NC(=O)C)CC1)C1CCCCC1
