,canonical,random
0,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,C1C(Nc2c3c(n([C@H]4C=C[C@@H](CO)C4)cn3)nc(N)n2)C1
1,COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12,O(c1cc2c3c(COC)c(C(=O)OC(C)C)ncc3[nH]c2cc1)Cc1ccccc1
2,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,[C@H]12[C@@H]([C@]3(C)C(=CC1)C[C@@H](O)CC3)CC[C@@]1(C)[C@H]2CC=C1c1cnccc1
3,CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1,CC(=O)c1cc(NC(=O)CCC)ccc1OC[C@@H](O)CNC(C)C
4,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,c1(Nc2c(Cl)cccc2Cl)c(CC(=O)OCC(=O)O)cccc1
5,CC(=O)C[C@@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,c1cc([N+](=O)[O-])ccc1[C@H](CC(=O)C)c1c(=O)oc2c(c1O)cccc2
6,CC(=O)Oc1ccccc1C(=O)O,O=C(c1c(OC(=O)C)cccc1)O
7,CC(=O)Nc1ccc(O)cc1,c1c(NC(C)=O)ccc(O)c1
8,CC(=O)Nc1ccccc1,c1ccc(NC(C)=O)cc1
9,CC(=O)Nc1nnc(S(N)(=O)=O)s1,NS(c1sc(NC(C)=O)nn1)(=O)=O
10,CC(C)=O,O=C(C)C
11,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,c12n(c(CN(C)C)nn1)-c1ccc(Cl)cc1C(c1ccccc1)=NC2
12,CC[C@@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O,CC[C@H]1[C@@H](O)N2[C@@H]3[C@@H]4[C@H]1C[C@H]2[C@@H]1N(C)c2c(cccc2)[C@@]1(C3)[C@@H]4O
13,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,c1c(SCCC)cc2[nH]c(NC(OC)=O)nc2c1
14,CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1,C(NC(C)(C)C)[C@H](c1ccc(O)c(CO)c1)O
15,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,O=c1n(CCN2CCC(N(c3ccccc3)C(=O)CC)(COC)CC2)nnn1CC
16,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,c12c(ccc(CS(N3CCCC3)(=O)=O)c1)[nH]cc2CCN(C)C
17,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,C(c1nc[nH]c1C)N1C(=O)c2c3c(cccc3)n(C)c2CC1
