,canonical,random
0,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,c1cc(Nc2nccc(-c3ccnc(NC(=O)C4CCOCC4)c3)c2)ccc1
1,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,C(O[C@H]1C[C@H]2[C@@H]3O[C@@H]3[C@H]([N+]2(C)C)C1)(=O)C(c1cccs1)(O)c1sccc1
2,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1,c1cc(Cl)cc(CN2C[C@H](C)N(C(=O)Cc3ccc(Cl)cc3)CC2)c1OCC(=O)O
3,Cc1c(Sc2ccc(Cl)cc2)c2c(S(C)(=O)=O)cccc2n1CC(=O)O,c1(Sc2c3c(cccc3S(=O)(C)=O)n(CC(=O)O)c2C)ccc(Cl)cc1
4,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)nc1,N(C(c1ncc(-c2c(C)ccc(C(=O)NC3CC3)c2)cc1)=O)CC1CC1
5,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1,Clc1cccc(Cl)c1CCNCc1cccc(CCNC[C@H](O)c2c3sc(=O)[nH]c3c(O)cc2)c1
6,Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cccc(N6CCOCC6)c5)cc34)cc2Cl)c1,c1ccc(F)cc1COc1c(Cl)cc(Nc2c3c(ccc(-c4cc(N5CCOCC5)ccc4)c3)ncn2)cc1
7,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(C(F)(F)F)cc2[nH]cnc12,n1c(-c2cccc(NC(=O)c3cc(C(F)(F)F)cc4c3nc[nH]4)c2)[nH]nn1
8,Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O,c1cc(-c2c(C)n(CC(O)=O)c3ccc(C)cc23)c2cccc(C(F)(F)F)c2n1
9,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,c1ccccc1C1=NCC(=O)N(C)c2c1cc(Cl)cc2
10,CCCCNc1nc(SCCC)nc2c1nnn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O,O[C@H]1[C@@H](O)[C@H](n2c3c(nn2)c(NCCCC)nc(SCCC)n3)C[C@@H]1CO
11,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2c(F)cccc12,c12c(c(F)ccc1)c(=O)[nH]cc2C(=O)NC[C@H](CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)O
12,O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOCC1,c1c(Nc2cc(-c3ccnc(NC(=O)C4CCOCC4)c3)ccn2)ccc(F)c1
