,canonical,random
0,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(OC)c1OC,o1c(-c2cc(OC)c(OC)c(OC)c2)c(O)c(=O)c2c1cc(O)cc2O
1,COc1ccc2oc(-c3ccc(OC)c(OC)c3)c(OC)c(=O)c2c1,c1c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2ccc1OC
2,COc1ccc(-c2oc3cc(O)ccc3c(=O)c2O)cc1OC,o1c2cc(O)ccc2c(=O)c(O)c1-c1ccc(OC)c(OC)c1
3,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1OC,c1ccc2oc(-c3cc(OC)c(OC)cc3)cc(=O)c2c1
4,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,c1(OC)cc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)ccc1OC
5,COc1cc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc(OC)c1OC,c1c(-c2cc(OC)c(OC)c(OC)c2)oc2c(c1=O)c(OC)c(OC)c(OC)c2
6,COc1cc(OC)c2c(=O)cc(-c3cc(OC)c(OC)c(OC)c3)oc2c1,O(c1cc(-c2oc3cc(OC)cc(OC)c3c(=O)c2)cc(OC)c1OC)C
7,COc1ccc2c(=O)cc(-c3ccc(OC)c(OC)c3)oc2c1,c12oc(-c3ccc(OC)c(OC)c3)cc(=O)c1ccc(OC)c2
8,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,N(CCOc1c(OC)cccc1)C[C@@H](COc1c2c3c(cccc3)[nH]c2ccc1)O
9,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,Fc1c(N2CCNCC2)cc2n(C3CC3)cc(C(O)=O)c(=O)c2c1
10,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,c1(Nc2ccc(Cl)cc2)cc2nc3c(cccc3)n(-c3ccc(Cl)cc3)c-2c/c1=N\C(C)C
11,O=P1(N(CCCl)CCCl)NCCCO1,C(CN(CCCl)P1(=O)OCCCN1)Cl
12,COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,C1CCC[C@]23CCN(C)[C@H](Cc4ccc(OC)cc42)[C@H]13
13,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,C(O)CN1CCN(CCCN2c3c(ccc(C(F)(F)F)c3)Sc3ccccc32)CC1
14,COc1ccc(CCN(C)CCC[C@@](C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,C(CN(C)CCC[C@](C(C)C)(c1cc(OC)c(OC)c(OC)c1)C#N)c1cc(OC)c(OC)cc1
15,CCN(CC)CC(=O)Nc1c(C)cccc1C,O=C(Nc1c(C)cccc1C)CN(CC)CC
16,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,c1cc(OC)c(OC)cc1-c1oc2c(OC)c(OC)c(OC)c(OC)c2c(=O)c1
17,COc1ccc(CCNCCC[C@@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,c1(OC)cc(CCNCCC[C@@](c2cc(OC)c(OC)cc2)(C(C)C)C#N)ccc1OC
18,O=[N+]([O-])c1ccc(O)cc1,c1c(O)ccc([N+](=O)[O-])c1
19,CC[C@@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,[C@@H]12C(=C[C@@H](O)C[C@@H]1OC([C@@H](CC)C)=O)C=C[C@@H](C)[C@@H]2CC[C@H](C[C@H](CC(O)=O)O)O
20,COC(=O)[C@H]1[C@@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@@H]2C[C@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,C1[C@H]2[C@H](C(OC)=O)[C@@H](OC)[C@@H](OC(=O)c3cc(OC)c(OC)c(OC)c3)C[C@H]2CN2[C@H]1c1c(c3ccc(OC)cc3[nH]1)CC2
21,COc1cc(C(=O)C(=O)N2CCCC[C@H]2C(=O)OC(CCCc2cccnc2)CCCc2cccnc2)cc(OC)c1OC,n1cc(CCCC(CCCc2cnccc2)OC(=O)[C@@H]2CCCCN2C(C(c2cc(OC)c(OC)c(OC)c2)=O)=O)ccc1
22,COCC(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,c1ccc2c(c1)[nH]c(CCCN(CC[C@]1(OC(COC)=O)CCc3c(ccc(F)c3)[C@@H]1C(C)C)C)n2
23,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,c1(NC(=O)c2c(C(C)C)n(CC[C@H](C[C@H](CC(=O)O)O)O)c(-c3ccc(F)cc3)c2-c2ccccc2)ccccc1
24,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@H]1C[C@@H](O)CC(=O)O1,c1(-c2c(C(=O)Nc3ccccc3)c(C(C)C)n(CC[C@@H]3OC(=O)C[C@H](O)C3)c2-c2ccc(F)cc2)ccccc1
25,CCC(C)(C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@@H](C)[C@H](CC[C@@H]3C[C@H](O)CC(=O)O3)[C@H]21,C1=C2C=C[C@@H](C)[C@H](CC[C@H]3OC(=O)C[C@@H](O)C3)[C@H]2[C@@H](OC(C(C)(C)CC)=O)C[C@@H]1C
26,CC(C)CN(C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,[C@@H](CN(S(=O)(c1ccc(N)cc1)=O)CC(C)C)([C@H](NC(=O)O[C@H]1CCOC1)Cc1ccccc1)O
27,COc1cc2c(c(OC)c1OC)[C@H]1CC[C@@H](OC)C(=O)C[C@@H]1[C@H](NC(C)=O)CC2,CO[C@H]1C(=O)C[C@@H]2[C@H](NC(=O)C)CCc3c(c(OC)c(OC)c(OC)c3)[C@H]2CC1
28,C=C1C=C[C@@]2(C)C(=C1)CC[C@H]1[C@@H]3C[C@@H](C)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)C12F,C1[C@@]2(C)[C@@H](C[C@@H](C)[C@]2(O)C(CO)=O)[C@@H]2CCC3=CC(=C)C=C[C@]3(C)C2(F)[C@H]1O
29,CN(C)CCOC(c1ccccc1)c1ccccc1,C(CN(C)C)OC(c1ccccc1)c1ccccc1
30,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@H](O)C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O,c1ccc(C[C@@H](C[C@H](CN2[C@H](C(NC(C)(C)C)=O)CN(Cc3cccnc3)CC2)O)C(=O)N[C@H]2[C@@H](O)Cc3c2cccc3)cc1
31,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,Clc1cc(Cl)c([C@@]2(Cn3cncc3)O[C@H](COc3ccc(N4CCN(C(C)=O)CC4)cc3)CO2)cc1
32,CC(C)NC[C@H](O)COc1cccc2ccccc12,C([C@H](O)COc1c2c(ccc1)cccc2)NC(C)C
33,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
34,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,c1(OC)cc(Cc2c(N)nc(N)nc2)cc(OC)c1OC
35,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,c1cc(Cl)cc2c1N(C)C(=O)CN=C2c1ccccc1
36,CC[C@]1(C)CC(=O)NC1=O,[C@@]1(CC)(C)CC(=O)NC1=O
