,canonical,random
0,OCC(S)CS,C(C(S)CS)O
1,CC[N+](C)(C)c1cccc(O)c1,c1(O)cc([N+](C)(C)CC)ccc1
2,CCOC(=O)n1ccn(C)c1=S,O(CC)C(=O)n1c(=S)n(C)cc1
3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1n1c2c(c(N)ncn2)nc1
4,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1,C(OC(C)=O)C1=C(C(=O)O)N2[C@@H]([C@H](NC(=O)CC#N)C2=O)SC1
5,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,c1cc(OCCCCCOc2ccc(C(=N)N)cc2)ccc1C(N)=N
6,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,n1c(N)scc1/C(=N/OC)C(=O)N[C@H]1[C@H]2SCC=C(C(O)=O)N2C1=O
7,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,O=C(C1=C(S[C@@H]2CN[C@H](C(N(C)C)=O)C2)[C@H](C)[C@H]2N1C(=O)[C@@H]2[C@H](O)C)O
8,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,[C@@H]1(NC(=O)[C@@H](c2ccsc2)C(=O)O)C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
9,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,O=C(OCC1=C(C(=O)O)N2[C@@H]([C@](OC)(NC(Cc3sccc3)=O)C2=O)SC1)N
10,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,C1N(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@H](C(=O)O)N3C2=O)c2ccccc2)C(=O)NC1
11,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,S1[C@H]2N(C(=O)[C@H]2NC(/C(c2nc(N)sc2)=N\OC(C)(C(O)=O)C)=O)C(C([O-])=O)=C(C[n+]2ccccc2)C1
