,canonical,random
0,COc1ccc(C(=O)N(C)C)cc1,c1(C(N(C)C)=O)ccc(OC)cc1
1,CS(=O)(=O)Cl,S(Cl)(C)(=O)=O
2,C=CC(C)C,CC(C)C=C
3,CCc1cnccn1,c1(CC)cnccn1
4,CCCCCCCO,C(CCCCCO)C
5,Cc1cc(C)cc(O)c1,Cc1cc(O)cc(C)c1
6,CC(C)C(C)C,CC(C)C(C)C
7,CCCC(C)(C)O,CC(C)(O)CCC
8,C[C@@H]1CCCC[C@@H]1C,[C@@H]1(C)CCCC[C@@H]1C
9,CC[C@H](C)O,[C@@H](CC)(C)O
10,BrCBr,BrCBr
11,CC[C@@H](O)C(C)C,[C@H](O)(C(C)C)CC
12,CCc1ccccn1,n1c(CC)cccc1
13,CCCCC(=O)OCC,O(CC)C(=O)CCCC
14,Sc1ccccc1,c1ccccc1S
15,CC(C)=CCC/C(C)=C\CO,C(C)(C)=CCC/C(C)=C\CO
16,c1ccc2c(c1)CCC2,C1Cc2c(cccc2)C1
17,CCOc1ccccc1,c1cccc(OCC)c1
18,Oc1ccc(Br)cc1,Oc1ccc(Br)cc1
19,CCCC(C)(C)C,C(CC)C(C)(C)C
20,CC(=O)OCCOC(C)=O,O=C(OCCOC(=O)C)C
21,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,P(OCC)(OCC)(SCSP(=S)(OCC)OCC)=S
22,OC1CCCCCC1,C1CC(O)CCCC1
23,COC(=O)C1CC1,C1CC1C(=O)OC
24,N#Cc1ccccc1,c1(C#N)ccccc1
25,CCCCC#N,CCCCC#N
26,CC(C)(C)O,CC(C)(O)C
27,CC(C)C(=O)C(C)C,CC(C)C(C(C)C)=O
28,CCC=O,C(CC)=O
29,CN(C)C=O,CN(C)C=O
30,Cc1ccc(C)cc1,c1(C)ccc(C)cc1
31,C=CCC=C,C=CCC=C
32,Cc1cccc(Nc2ccccc2C(=O)O)c1C,c1(Nc2ccccc2C(=O)O)c(C)c(C)ccc1
33,CN(C)C(=O)c1ccccc1,c1(C(N(C)C)=O)ccccc1
34,CCNCC,C(NCC)C
35,CC(C)(C)c1ccc(O)cc1,CC(c1ccc(O)cc1)(C)C
36,CC(C)CCOC=O,O(CCC(C)C)C=O
37,CCCCCCCCCCO,C(CC)CCCCCCCO
38,CCOC(=O)CC,C(C(OCC)=O)C
39,CCCCCCCCC,C(C)CCCCCCC
40,CNC(C)=O,CC(=O)NC
41,C=CCCCCCCC,C(CC=C)CCCCC
42,Oc1ccc2ccccc2c1,c12ccc(O)cc1cccc2
43,Clc1ccc(Cl)c(Cl)c1,c1(Cl)ccc(Cl)cc1Cl
44,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,O[C@@H]([C@H](O)[C@@H](CO)O)[C@H](O)CO
45,CCCC(=O)OC,C(CC)C(OC)=O
46,O=Cc1ccccc1O,c1ccc(O)c(C=O)c1
47,C1CNC1,C1CNC1
48,CCCNCCC,C(C)CNCCC
49,Nc1ccccc1,c1c(N)cccc1
50,FC(F)(F)F,FC(F)(F)F
51,CC[C@@H](C)CO,CC[C@@H](C)CO
52,Oc1ccccc1I,c1cccc(O)c1I
53,COc1cccc(OC)c1O,c1ccc(OC)c(O)c1OC
54,C#CCC,C(CC)#C
55,FC(F)(F)c1ccccc1,c1cc(C(F)(F)F)ccc1
56,NN,NN
57,Cc1ccccn1,c1(C)ccccn1
58,CCNc1nc(Cl)nc(NCC)n1,CCNc1nc(Cl)nc(NCC)n1
59,Clc1cc2c(cc1Cl)Oc1ccccc1O2,Clc1c(Cl)cc2c(c1)Oc1c(cccc1)O2
60,CCCCCCCCN,C(CCCN)CCCC
61,N,N
62,FC(F)(F)c1ccccc1C(F)(F)F,c1c(C(F)(F)F)c(C(F)(F)F)ccc1
63,COC(=O)c1ccc(O)cc1,c1c(O)ccc(C(OC)=O)c1
64,CCCCCc1ccccc1,C(CCCC)c1ccccc1
65,CC(F)F,CC(F)F
66,Nc1cnn(-c2ccccc2)c(=O)c1Cl,c1ccccc1-n1ncc(N)c(Cl)c1=O
67,C=CC=C,C(C=C)=C
68,CN(C)C,N(C)(C)C
69,CCCCCC(N)=O,NC(=O)CCCCC
70,CC(C)CO[N+](=O)[O-],O(CC(C)C)[N+](=O)[O-]
71,O=C1c2ccccc2C(=O)c2c(NCCO)cccc21,O=C1c2c(cccc2)C(=O)c2c(NCCO)cccc21
72,O=[N+]([O-])OCCO,OCCO[N+](=O)[O-]
73,CCCCCCC(C)=O,C(C(=O)C)CCCCC
74,CN1CCNCC1,C1CN(C)CCN1
75,CCN,C(N)C
76,C1=CC=CCC=C1,C1=CC=CC=CC1
77,c1ccc2c(c1)Cc1ccccc1C2,c1cccc2c1Cc1ccccc1C2
78,CC(Cl)Cl,ClC(C)Cl
79,COc1cccc(O)c1,O(C)c1cccc(O)c1
80,c1cc2c3c(cccc3c1)CC2,C1c2cccc3cccc(c32)C1
81,CCCCCCCCBr,C(CCBr)CCCCC
82,OCc1ccccc1,OCc1ccccc1
83,O=c1[nH]cc(Br)c(=O)[nH]1,Brc1c(=O)[nH]c(=O)[nH]c1
84,CCCC,CCCC
85,CCl,ClC
86,CC(C)CBr,C(Br)C(C)C
87,CC(C)SC(C)C,CC(SC(C)C)C
88,CCCCCCC,C(CCCC)CC
89,c1c[nH]cn1,c1cnc[nH]1
90,Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,c1(Cl)cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)cc1)O2
91,CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O,O=c1n([C@H](CC)C)c(=O)[nH]c(C)c1Br
92,ICI,C(I)I
93,CCCSC(=O)N(CCC)CCC,S(CCC)C(N(CCC)CCC)=O
94,C[N+](=O)[O-],O=[N+](C)[O-]
95,CCOC,C(OC)C
96,COC(CCl)(OC)OC,COC(CCl)(OC)OC
97,CC(C)C,CC(C)C
98,CC(C)CC(=O)O,CC(CC(=O)O)C
99,CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl,P(O/C(=C/Cl)c1ccc(Cl)cc1Cl)(OCC)(OCC)=O
100,CCCCl,CCCCl
101,CCCSCCC,S(CCC)CCC
102,CCC[C@@H](O)CC,C(C[C@@H](O)CC)C
103,CC#N,C(C)#N
104,CN(CC(F)(F)F)c1ccccc1,c1ccccc1N(C)CC(F)(F)F
105,FC(F)O[C@H](Cl)C(F)(F)F,O([C@@H](C(F)(F)F)Cl)C(F)F
106,C=CCCC=C,C=CCCC=C
107,Cc1cccc(C)c1,Cc1cccc(C)c1
108,COC(C)=O,C(C)(OC)=O
109,COC(OC)(OC)c1ccccc1,O(C)C(OC)(OC)c1ccccc1
110,CCOC(=O)c1ccccc1,CCOC(=O)c1ccccc1
111,CCCS,SCCC
112,CCCCCC(C)=O,CC(CCCCC)=O
113,CNC(=O)Oc1cccc2c1OC(C)(C)C2,C1c2cccc(OC(=O)NC)c2OC1(C)C
114,BrCc1ccccc1,c1cccc(CBr)c1
115,CCCCCC(=O)OCC,C(CCCC)C(=O)OCC
116,CCCOC,O(C)CCC
117,CN1CCOCC1,C1N(C)CCOC1
118,N#Cc1cccc(O)c1,Oc1cccc(C#N)c1
119,Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)cc2)c1Cl
120,CCCc1ccccc1,c1cc(CCC)ccc1
121,Cn1c(=O)c2c(ncn2C)n(C)c1=O,c1(=O)n(C)c2ncn(C)c2c(=O)n1C
122,CNC,CNC
123,FC(F)=C(F)C(F)(F)F,C(F)(F)=C(C(F)(F)F)F
124,Oc1ccc(Cl)cc1,c1c(O)ccc(Cl)c1
125,C1CCNCC1,N1CCCCC1
126,c1ccc2c(c1)ccc1ccccc12,c1c2c(c3c(cccc3)c1)cccc2
127,CI,CI
128,COc1c(Cl)cc(Cl)c(OC)c1O,Clc1cc(Cl)c(OC)c(O)c1OC
129,Cl/C=C/Cl,C(=C/Cl)\Cl
130,CCCCC,CCCCC
131,CCCC#N,C(CCC)#N
132,F[C@H](Br)C(F)(F)F,FC([C@H](F)Br)(F)F
133,CC(C)Cc1cnccn1,c1ncc(CC(C)C)nc1
134,CC[C@H](C)O[N+](=O)[O-],CC[C@@H](O[N+]([O-])=O)C
135,Clc1ccc(Cl)c(-c2ccccc2)c1,c1c(Cl)ccc(Cl)c1-c1ccccc1
136,Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,c1(-c2ccccc2)cc(Cl)c(Cl)c(Cl)c1Cl
137,CC[C@@H](C)C(C)C,[C@@H](CC)(C(C)C)C
138,CC(C)C[C@@H](C)O,C(C(C)C)[C@H](O)C
139,C1CCOCC1,C1COCCC1
140,C1CC1,C1CC1
141,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,Clc1c(Cl)c(Cl)cc(-c2cc(Cl)c(Cl)c(Cl)c2)c1Cl
142,C=C(Cl)Cl,C=C(Cl)Cl
143,CC(C)CO,CC(CO)C
144,CCCOC(=O)CC,CCCOC(CC)=O
145,ClC(Cl)(Cl)C(Cl)(Cl)Cl,ClC(C(Cl)(Cl)Cl)(Cl)Cl
146,CSc1ccccc1,S(C)c1ccccc1
147,CCc1ccccc1O,c1(CC)ccccc1O
148,CC(C)(C)Cl,CC(C)(C)Cl
149,C=CC(=C)C,CC(=C)C=C
150,Cc1ccc(C(C)C)cc1,c1cc(C(C)C)ccc1C
151,Cn1ccnc1,Cn1cncc1
152,OCCO,OCCO
153,Clc1ccccc1Cl,Clc1c(Cl)cccc1
154,O=c1cc(Cl)[nH]c(=O)[nH]1,c1(=O)cc(Cl)[nH]c(=O)[nH]1
155,CCCOC=O,C(COC=O)C
156,Clc1ccc2c(c1)Oc1ccccc1O2,c1c(Cl)cc2c(c1)Oc1c(cccc1)O2
157,CCCCCC(=O)O,C(CCCC)C(O)=O
158,CCOC(=O)CCC(=O)OCC,O(C(=O)CCC(OCC)=O)CC
159,Cc1ccnc(C)c1,c1(C)cc(C)ccn1
160,C1=CCCCC1,C1CC=CCC1
161,CN1CCN(C)CC1,CN1CCN(C)CC1
162,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,Clc1c(Cl)ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2)c1
163,O=C1C=CC(=O)C=C1,O=C1C=CC(=O)C=C1
164,COC(=O)CCl,ClCC(OC)=O
165,CCCC=O,C(CCC)=O
166,CCc1ccccc1,C(C)c1ccccc1
167,ClC=C(Cl)Cl,ClC(Cl)=CCl
168,CCN(CC)CC,C(C)N(CC)CC
169,Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(cc(Cl)cc1)O2
170,Cc1ccncc1C,c1cc(C)c(C)cn1
171,O=c1[nH]c(=O)[nH]c(=O)[nH]1,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1
172,O=Cc1ccccc1,O=Cc1ccccc1
173,Clc1ccccn1,c1cc(Cl)ncc1
174,C=CCCl,C=CCCl
175,CC(=O)c1ccc(C)cc1,c1c(C)ccc(C(=O)C)c1
176,C=O,C=O
177,Cc1ccccc1Cl,c1(Cl)ccccc1C
178,CC(=O)N1CCCC1,C(N1CCCC1)(C)=O
179,COC(C)(OC)OC,COC(OC)(OC)C
